ああ あゝ
すうがくきごう ×
すうがくきごう ÷
すうがくきごう Δ
すうがくきごう ⇒
すうがくきごう ⇔
すうがくきごう ∀
すうがくきごう ∂
すうがくきごう ∃
すうがくきごう ∇
すうがくきごう ∈
すうがくきごう ∋
すうがくきごう √
すうがくきごう ∝
すうがくきごう ∞
すうがくきごう ∠
すうがくきごう ∧
すうがくきごう ∨
すうがくきごう ∩
すうがくきごう ∪
すうがくきごう ∫
すうがくきごう ∬
すうがくきごう ∴
すうがくきごう ∵
すうがくきごう ∽
すうがくきごう ≒
すうがくきごう ≠
すうがくきごう ≡
すうがくきごう ≦
すうがくきごう ≧
すうがくきごう ≪
すうがくきごう ≫
すうがくきごう ⊂
すうがくきごう ⊃
すうがくきごう ⊆
すうがくきごう ⊇
すうがくきごう ⊥
すうがくきごう ⌒
すうがくきごう ￢
すが ＊（糸へん+圭）
すべての ∀
すみつきかっこ 【
すみつきかっこ 】
すら ／
すらっしゅ ／
ずけい ◆
せき ×
せきしゅうごう ∩
せきぶん ∫
せきぶん ∬
せくしょん §
せっし ℃
せつ §
せつ 卩
せん 巛
せんげん ∨
せんと ￠
ぜえた Ζ
ぜろ 〇
ぜんしょう ∀
ぜーた Ζ
ぜーた ζ
そうじ ∽
そうわ Σ
そんざい ∃
ぞくする ∈
ぞくする ∋
たう Τ
たう τ
たす ＋
たたずm 彳
たたずn 彳
たて │
たて ┃
たてせん │
たてせん ｜
たてぼう │
たてぼう ｜
たんけんふ †
たんけんふ ‡
だいかっこ ［
だいかっこ ］
だいなり ≧
だいなり ＞
だいなりいこーる ≧
だいや ◆
だいや ◇
だがー †
だくおんぷ ゛
だくてん ゛
だぶるだがー ‡
ちゅ 丶
ちゅう ※
ちゅうかっこ ［
ちゅうかっこ ］
ちゅうかっこ ｛
ちゅうかっこ ｝
ちゅうてん ・
ちょうおん ー
ちょうふう 潮＊（さんずい+風）
ちょっかく ⊥
ちょっこう ⊥
ちょめちょめ ××
て 〒
てき 彳
てん …
てん 、
てん ・
てん ・・・
てん 丶
てん ，
てん ．
てんてん ‥
てんてん …
てんてん ……
てんてん ・・・
てんてん ．．．
てんてん ：
てんてんてん ・・・
でるた Δ
でるた δ
とう 亠
とうごう ＝
とうふ ■
とくしょう ∃
ど °
ど ℃
どう 〃
どう ゞ
どう 々
どうじょう 〃
どうじょう 仝
どうち ⇔
どうち ≡
どうのじ 々
どうのじてん 々
どしー ℃
どる ＄
ないし ～
なかくろ ・
なかぐろ ・
なかてん ・
なかまる ・
なぜなら ∵
なぶら ∇
なみ ～
なみせん ～
ならば →
ならば ⇒
ならば ⊃
なんとなれば ∵
にありーいこーる ≒
にじゅうかぎかっこ 『
にじゅうかぎかっこ 』
にじゅうせきぶん ∬
にじゅうまる ◎
にじゅうやまかっこ 《
にじゅうやまかっこ 》
にじゅうやまがっこ 《
にじゅうやまがっこ 》
にほんせん ∥
にゅう ν
にゅー Ν
にゅー ν
にょろ ～
にんい ∀
の －
のえる Ｎｏёｌ
のっと ￢
のま 々
はいふん ‐
はいふん ―
はこ □
はこがまえ 匚構え
はちぶおんぷ ♪
はてな ？
はんだくおんぷ ゜
はんだくてん ゜
ばってん ×
ばつ ×
ばつばつ ××
ぱい Π
ぱい π
ぱーせんと ％
ぱーみる ‰
ひく －
ひし ◇
ひしがた ◆
ひしがた ◇
ひだり ←
ひだり 「
ひだり 『
ひだり 【
ひだり （
ひだり ＜
ひだりかっこ 『
ひだりや ←
ひだりやじるし ←
ひつぜん □
ひてい ￢
ひとしくない ≠
ひょう 冫
ひれい ∝
びっくり ！
びょう ″
ふぁい Φ
ふぁい φ
ふくまれる ⊂
ふくまれる ⊆
ふくむ ⊃
ふくむ ⊇
ふせじ ×××
ふせじ □□□
ふせじ △△△
ふせじ ○○○
ふとうごう ≠
ふとうごう ≦
ふとうごう ≧
ふとうごう ≪
ふとうごう ≫
ふとうごう ＜
ふとうごう ＞
ふらっと ♭
ふん ′
ぷさい Ψ
ぷさい ψ
ぷしー Ψ
ぷしー ψ
ぷらす ＋
ぷらすまいなす ±
ぷらまい ±
へつ 丿
へんびぶん ∂
べえた β
べき 冖
べん 宀
べーた Β
べーた β
ぺけ ×
ぺけぺけ ××
ほう 勹
ほう 匚
ほし ※
ほし ★
ほし ☆
ほし ＊
ぽち ・
ぽつ ・
ぽんど ￡
まいくろ μ
まいくろめーとる μm
まいなす －
まじわり ∩
または ∨
または ∪
まる °
まる ○
まる ◎
まる ●
まる ◯
まる 。
まる 〇
まる ゜
まる ・
まる ．
まるかっこ （
まるかっこ ）
まるばつ ○×
まるまる ○○
みぎ →
みぎ 」
みぎ 』
みぎ 】
みぎ ）
みぎ ＞
みぎかっこ 』
みぎかっこ 】
みぎや →
みぎや ⇒
みぎやじるし →
みぎやじるし ⇒
みくろん μ
みだし ※
みだし ■
みだし ◇
みだし ＊
みゅう μ
みゅー Μ
みゅー μ
むげん ∞
むげんだい ∞
むじゅん ⊥
めす ♀
や ←
や ↑
や →
や ↓
や ⇒
や ⇔
